✅ TX ea254fd2e13c249e539baa93c0a52d00fbcbc00ab14222aa54f2c47c3747fa10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX f435298d504b13442118dfd33d7337dd4c52919d84460038158ff2f4b72c90de | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-12-06 20:27:00
✅ TX 4e42dd98e5b486d07970305f59d8492098f1d8ad161590a44350b45f25eaead7 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-06 20:27:00
✅ TX 8e90ca48f7b4f26e389a9034c528ca955d76e715e3ade9e3f255e69ead9ce3da | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-03 08:15:00
✅ TX 784bc601d5b0961b8daced835303d91a8b0eee7718dd4c00ece9d739021ba99e | SENSOR_Temperature_°C | Temperature (°C) | Value: 10 | Timestamp: 2016-10-03 08:15:00
✅ TX 2f928d6a81382f54b09df91e951bcd78dac8b4428aebfbe0be51d0f76873cfdd | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-03 08:15:00
✅ TX 0f343e486da2b4478988bfb0cf0380b29d2421c91d4ec3be56decd710741fe7d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-10-03 08:15:00
✅ TX 5be1529d4fc00ed7a60bb166f85fe9d87e8d53544b7a983e831f159c4466c650 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-03 08:15:00
✅ TX 3487b483e6666b517fef9908cfd0346b4ebf44665f4a87c6edd20ef64dda5839 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-26 10:52:00
✅ TX 5ff8b2a9cc35b1dc90a5ba0fa7442872d80f08fbee174891ca5a94669c66c685 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-12-26 10:52:00
✅ TX 1f4f70921981edc07f0cc2bd41519eca9e3b8330d25f1f9601d4709461af0ab4 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-26 10:52:00
✅ TX 8c586910ee1f0aeccdffb6cf7abdba2fe7e4f28f2493b76365cb7e0f823a9ce0 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 218 | Timestamp: 2016-12-26 10:52:00
✅ TX a9b854336c124f6bcf465a8a9d4f57d370ffe6e523fc8d43d6cdca680966cd19 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-26 10:52:00
✅ TX 8247cd2129ae66ccad8eeebcf92b32c24a73a659cc9df7b45207f7d1d292ea8f | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-01 06:22:00
✅ TX c2459703c037661ad75ab8f02705ec014ae092a82a9d202042aacd78161f5709 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-11-01 06:22:00
✅ TX 73985f3cbd39f9a56e28f38301ab289dfc29b04c8ef7ad4f9d23f94a35550d08 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-01 06:22:00
✅ TX 5259979b9cf239f102a66e57b05e6ac1ef441de5a3a01ce69239334b923bc9b2 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-11-01 06:22:00
✅ TX 5336efd030bf419313c4ebe40a459b2da013d824948f934f44242e47104397c6 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-01 06:22:00
✅ TX 348d3e226f3f8dd5f402babfb6ff91592175dc6b73e91a1d97b50ede5eab4ea0 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-01 21:41:00
✅ TX 9b99e2c800d5a8fbebbaca9e7da3dd88c6e12fa9d0021f2a9070af02efef5347 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-01 21:41:00
✅ TX 58a3ef30cba11dbb7cb0c7fb5f2ec9c8c95c38f7230c3978abc3e7b7b7078aa3 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-01 21:41:00
✅ TX 699cb35e2cb1539505cd830e5fdf466e9dc05a9459a350f8063a34036945ba12 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-10-01 21:41:00
✅ TX 0ffac2db4e98a86df42d13e0ce14e9ca3785f172a360aeb4c47e007f3955a0e3 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-20 09:47:00
✅ TX 06830df6625ccc78a8448155d856d6beb677644dec7353f85b3ecb8cf67135ca | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-12-20 09:47:00
✅ TX 36a9ead05331a434ae9d411daae69797972409e44a898bd1531b38c3849f9072 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-20 09:47:00
✅ TX 8a126a55232d8c657dc2805e5807b36c23f2d1c89efcdd782a94e0a8c0d7a0f5 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-12-20 09:47:00
✅ TX b1f9f850fc0a0cdaea2eeb5b4b7f162ee7fd5d53bf908490b1d28286efbcd26b | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-17 12:54:00
✅ TX 9a5e5392ca26be0bfe5c16080b4eb8a9e2a74c021e0341aa2e676d354aea272c | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-17 12:54:00
✅ TX aaade425ccbe449890eab1724284474b24e5b357714a2ded809bba804bb57365 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-17 12:54:00
✅ TX 81754a3d37f50204a15b7a6f022378b44f890522286808b3f24600ef8e65c95b | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-08-17 12:54:00
✅ TX b93d414a2edb29513f7f63d8df608be163e786e34fcf3cb2816ff095cc007a58 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-17 12:54:00
✅ TX 25338c66f619a6bc2eab1d542b1d3240dc673c7ccade88c30d72a2e559ace102 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-09 03:13:00
✅ TX f7481f11eb850cdeb7d56347337e31caced023f80af087331e0929af6d0c97f9 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-11-09 03:13:00
✅ TX 3406f3471dc3dbb7b32fb478526ecf1647834a6d2cb3ce420fc0720886c12333 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-09 03:13:00
✅ TX 20b60a6cd44d3f4b5a4842aec2802165b73a5dfc0e907118b4eb53bf0b0a5f72 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-11-09 03:13:00
✅ TX 63ddd76e2e8ce41dcb20f928385167b33c5601e6907bddf749c36ab26914ca3b | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-09 03:13:00
✅ TX f08aa46e6d1e9956173156d13e19fbfca36b56c296a287ea46aeafc1e90abacd | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-03 04:42:00
✅ TX 373e306ad9c187f33ff48ed7f63f5b33fca3eb39b6641196ae219eb51a3e1396 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-03 04:42:00
✅ TX 6103281d13742f4b7a3181d13e2941b2e524e3795f3df06100e9bd925b1bbdae | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-03 04:42:00
✅ TX 96492717f14b6a3d730b4b9880a7922aafde2a28276093c8797c2fc59e06bdad | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 210 | Timestamp: 2016-10-03 04:42:00
✅ TX c00a92b3e3412adf308ee9e0a058927a582aa9b0b960fa9a0c017873f6e2ca7a | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-30 03:53:00
✅ TX d6310ff6219a027cb7ef6a331dca1c362fb59637f90836a2c8d53537aa22072c | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-30 03:53:00
✅ TX 89cfa2c5276d8d9a5ee760622cbc34e992cd33955eb56ea12eb9ee53f71fe787 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-30 03:53:00
✅ TX 283fb4290e4b27af2c965cd6849ce4448d87a54e4bbbfe59c02378e9437ac6c0 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 206 | Timestamp: 2016-08-30 03:53:00
✅ TX bfe328126c51f775ce2a579133cbd49a6d17cdb86581fb710eabc6ffbeec6f94 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-30 03:53:00
✅ TX 22ab5e5024dcb8400167bf1535a116da5a332e9436e0240daa344a970621c650 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-14 09:32:00
✅ TX 50e837d78228464a5d380b2d7d10f3a760991cd769a21aec63cf673bfbf5c773 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2017-01-14 09:32:00
✅ TX 50b0837c8523ab1871971c75677da1c9dd5a5485b515477667d2f212bf13d33f | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-14 09:32:00
✅ TX 1dfa8c8b220b07ef75de1551d51d99aa57cd0e9784b5e4ee3b9dfb11420261d3 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2017-01-14 09:32:00
✅ TX 5f442820aa863febd0ee554044c1a867e9ffd31b6fa5b19bca9ba7bf78e0b479 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-14 09:32:00
✅ TX 68264da2cba39d4b321941ee7529234a80a940cae310494e4831a096f01b9253 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-14 03:22:00
✅ TX d077436de2338d48bb19e9af9ac51b95b8fa68b43577ff856d4c39b1159d9d84 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-14 03:22:00
✅ TX 0c3b46a17c27aeac8ecc618a2fcfa2358beb4d8680e0d81a392039f0bdf6fe38 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-14 03:22:00
✅ TX f725d3be2b7b17b74aa6c7590d46afa3f36f34a5e095802a361fc9be197a3174 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-08-14 03:22:00
✅ TX 620d457fba55305154b072d0f12f268bae6dcec55cd57ff346e4b36f40ad9066 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-11 08:36:00
✅ TX ccb51083d8a6a712199741fe962a8fe74cd4e68775ed84a381133c2125ea4266 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-11 08:36:00
✅ TX 0f434581d50dc1caa96eec4492d76fa4c87ca1a6b8a13a48552a25890971a59c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-11 08:36:00
✅ TX 807aeb1370a2a8cdf02150d55069f70c2678d4af2fb78a8ecec6d837aa039c99 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 207 | Timestamp: 2016-10-11 08:36:00
✅ TX 46e32ca9eb1d4f84aa0dfa07a1cc8ecf2dbb2259de251737f4d41796cbb2e91f | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-11 08:36:00
✅ TX 0b1e420cbe5c8ada94f1dee74069c0711d9010ed57d4aeef97d7385223a62dfb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-10 00:07:00
✅ TX 6eb4e6268e9d89e4bac271779afa2fe97320bb32013a15fde8bc76baef775c35 | SENSOR_Temperature_°C | Temperature (°C) | Value: 10 | Timestamp: 2016-08-10 00:07:00
✅ TX 7c130ffea323d45444b28c6b7b8849c76fc10fbbb754d54989e7c2a09c5ce9ea | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-10 00:07:00
✅ TX daf03c489602426a755d3d45ca1516c39a022d0142ebe974111544605621c114 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-08-10 00:07:00
✅ TX b61cd2f09e07558a8fc30fddd05d9875500811c32b248830d6735f071c9fee3c | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-10 00:07:00
✅ TX 3efc4d838f4214517db6cb34b840a1ea63ad04c58844141ba6f6cf6116e6fe27 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-23 06:33:00
✅ TX a8040c9fafaa2dbee371b86a889300ff6109a984fbddfff7cb85e7921a999d43 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-12-23 06:33:00
✅ TX 6a85b56fc2e4828730069c0dc7b9488bdff0dbb0db8c420513c40cc581f0cbf5 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-23 06:33:00
✅ TX 78dc6b982519800af8732971b88d10320ec2f2077f8b0f3f96165fdb81cf2347 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-12-23 06:33:00
✅ TX ae145f7d0160203d7951b752d2e47273940c45e72699e7b38903b67b8447a488 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-30 04:12:00
✅ TX 8d569df13fed6d18d512bcd3d937c382ca01eb83a172cd8782e0cc61535e57a2 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-30 04:12:00
✅ TX d6929f1a422ac3b023bfcbf0a2ddb7dd373fcc13fff73d970a9cf8a252b413ff | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-30 04:12:00
✅ TX 8c4129cdfdc354ea2f8bfe221be556d08fa45ea2830c82a2c000edb72d287341 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-12-30 04:12:00
✅ TX 478b405af637579b78e391b23880a3f5270f3ddadfe2f961a56701358355d51d | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-24 16:48:00
✅ TX e8151ea70c9e586f7b2f8ed1a2637d0c89eb8e95abc795e5f24ab0640765d67a | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2017-01-24 16:48:00
✅ TX acd68779ed22f0bb5c22c737c3c810de8a85066ced65f548a9a037f5bbf7e856 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-24 16:48:00
✅ TX 4f5447b0e68a98af6b45d95344ae594488ee32f9f5a54ae690f8961bc99e2903 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 207 | Timestamp: 2017-01-24 16:48:00
✅ TX fd708822ba826f0ba4bac31aef464aaec6689c40a819a3899a2b09e57d713de2 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-25 15:34:00
✅ TX db9e126b9e9e9753283493760809d1799427df6e220ea3bf6cee138629b3d0e5 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2017-01-25 15:34:00
✅ TX 6b61bc6e776f93d101f6d92e909cc40fbd57086e4ebccb737d4bd91e8617536c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-25 15:34:00
✅ TX 684846c197c396459227e8fcf672f184ed14671da65012220389b849b798b0dd | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 201 | Timestamp: 2017-01-25 15:34:00
✅ TX 9e1eb0bd69a44dfb0766648037a0ad7833f3f29ad8edcec9d47412827f763a43 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-28 08:23:00
✅ TX af8661959a9cf2a86f274cd71569726cb6bdb42a81ebd186ee2048e4127fe3ff | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-09-28 08:23:00
✅ TX 6748fcb753cb254dfdedd1ac00bc3b904e5b825acf4c1c36445e27dab40be9b9 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-28 08:23:00
✅ TX 168868db56be3c3083650ecd7c5edf792e8a671294b1880d00d5ae8f81f5569d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-09-28 08:23:00
✅ TX a2e2a012b43b45cfb57eb902f0846f9241468e4358ea6c64d3ce1ac44481371c | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-14 18:02:00
✅ TX 2562d1e05f74000c6b1dbce73f2c2234eebb9908c6425fc5be75be6262987b61 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-14 18:02:00
✅ TX cff8548623638f0a1e507851388d03637c2f24f87a880c477bfccf651fdee55e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-14 18:02:00
✅ TX bc40bf69a2f214fc59e3279b66f35ae794e706f52a309cf621cb1ce93b443219 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 216 | Timestamp: 2016-10-14 18:02:00
✅ TX 198b5cf7e257eded7f5bbd29a437ae75e264735eab41ad8c682835e02c21de12 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-16 15:17:00
✅ TX 03a1f378c32f0912084c4509fe2f66b70e333158c1b1ff4805a0d02ca961d629 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-16 15:17:00
✅ TX edad628e2c99871bc5456168f223eeeb0532e1cf3f3e1c2e6ab191d812b1a1ce | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-16 15:17:00
✅ TX c4fa2b18c6bc311e9d09c075c0d70539d74c17aa275f83baf0740dc9acd2685d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-10-16 15:17:00
✅ TX d36128e7c3444b6f26b48a549129f944062247800b37315fcea62ab1ed8558df | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-26 15:25:00
✅ TX 037881584d9ccd90bbccd67953d0a8e0d4e1ec227c1c9197f1d37237f24cb46a | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-12-26 15:25:00
✅ TX ae4cf18e13594c71efb389d0627696a2b3a4d1363b5cfc17b6fee2b6a000d86a | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-26 15:25:00
✅ TX 58038762b23407f69e1939204b8ef262b2bfe40efbe5da4f82bcebbf6db71bbb | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 213 | Timestamp: 2016-12-26 15:25:00
✅ TX fd1b762550ff5c6bc1ae21e67aba11a380f0d0bb225002ce0558e553462fb98e | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-20 15:01:00
✅ TX f07238198a3f1fc65d9e322c80a79a4155adb87f8df5114f4ac4df0f9e52e7f7 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-20 15:01:00
✅ TX be1abdf143fdd6cf59d8bf8886e8776732751bacf5c49f45f1d3976b96a65e18 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-20 15:01:00
✅ TX e4ffff8337a00560f7aa265603d13870f3f382cd1428ff668803a553ee5aa4e9 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 210 | Timestamp: 2016-09-20 15:01:00
✅ TX 1e2cda19b1b69cc526373fff7f470a37127699b6465937ab9034c625140a5cec | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-30 10:29:00
✅ TX ca69a7d34da9df00d373160bc9b1dc0f4dccfb48b1e13dad11d8479e29ae632d | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-30 10:29:00
✅ TX 9fa93cef896cc38cafd90eefb61ff26c461502ceffd1c09d910d7a2f494f09b5 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-30 10:29:00
✅ TX 2f66a55e1bf1713781174f7bb11997793c66499b9ed11bd707724ba22bb2d163 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2016-09-30 10:29:00
✅ TX a540f6b210dc5e18fd10067a311040bcad0e5a4a94a51fe05861ffdbd407a5c1 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-30 10:29:00
✅ TX 68a90b807aa9e59e0d50fbd8fbecba3410229d1a970f4c7d862325b006848cb8 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-18 02:29:00
✅ TX 3bfea4f222ee32b919db80f1ca359c6cd9e09437c0dbfbd8da13aa620edab15d | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-08-18 02:29:00
✅ TX 15c2564e4fe5a988b2ecac644d5591caf3ea7e24784250fb4993bda05580568c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-18 02:29:00
✅ TX 805cb21439dcfeab4a544488dbd6a8fc0f87d203607a8ab5f5e5461a306c4b99 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-08-18 02:29:00
✅ TX 2e94980a744744c0a9d16d7d85760185088cc77c96d06720f492bf0139a5e8e7 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-23 10:16:00
✅ TX 110f0776b5432f780d59235c5e54fd1db56f9fc6a8f9ee265fb0d57554b5b277 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-23 10:16:00
✅ TX 66496ef743c1bfef4c3875392161ea1bba6ed76e7c206c12c7e4190c828121ed | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-23 10:16:00
✅ TX f6763087afd79d448bcbeff4a53fe21b8db5b2cbc081732d3c23523e7227362e | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-09-23 10:16:00
✅ TX 6a723ddce5a612d53cc9dfddfbdbc2e065480247d3b387b0f9594d9506bafca6 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-17 22:57:00
✅ TX 4c835ac8cf700f9b0502109529eeebee79e4d00d8313315e407ab7797af35f67 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2017-01-17 22:57:00
✅ TX 7250111dfe11256ebf45b7ba26f5f8d856994bea4b26456b6efd91b6702df4e4 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-17 22:57:00
✅ TX 25de1172fc0ef78c070159eec97fb54cd91dafeb9b7b1365de59e11ee96e9c08 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2017-01-17 22:57:00
✅ TX a8749fb6782bd3624d04542742337fee26626f58307e7e9fca2034d5d583eac2 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-17 22:57:00
✅ TX b031235316edeff88241f8e6db0de2c092fd6651300a3ebe6de775242ad746eb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-20 17:39:00
✅ TX 3c5220a0bcd42bd8f1f09da1af14d8f188dd512196c4c3701b088e9f24155e01 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-08-20 17:39:00
✅ TX cccd14573c72a16a66fe01918a3408586f7a609d51e2da0a314d1380bfc9240d | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-20 17:39:00
✅ TX 3fc840d4e8eb62155a698935a896fb172d377b2094c15864d1d4052fc642c324 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 222 | Timestamp: 2016-08-20 17:39:00
✅ TX 0bc5a4dd418a61b456ed1d52dfdadc95b25448c1fa30f3aa02522ba9668d0db5 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-20 17:39:00
✅ TX 89ae5be5f7bbac63cca49a01ad676e0d970c210481ca7c4c323a63d31766f5a4 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-01 08:51:00
✅ TX b27a1581d2f918b3940313b7e51577b79873c9d980d6ee006b02cd80f5230ab8 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-10-01 08:51:00
✅ TX ff99225108e33ae1ae8222c24672bf0df1f5485099544fbca29f9f86fbc35f9e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-01 08:51:00
✅ TX 8313cab29b0529d35eb449a54fe5eef99b9c459e8652cc64a3326a224a8caf4b | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-10-01 08:51:00
✅ TX eb188fae7da04f79aac9bae6b479158547550705cacdedf62884c7182886a356 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-01 08:51:00
✅ TX f37dca67143e165de9c1897f654bcd82d58155d4241c641ae2d68d3cb84219bb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-28 03:09:00
✅ TX 12d76ae58aae21ee5fe1fea53d4f93d54946ed3af86606294abed84cb3aadee4 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-09-28 03:09:00
✅ TX fb0c263d199bf219be96428f10381611326916ebbf3e5baa39ff4d81f932beaf | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-28 03:09:00
✅ TX 40f762aca4a35b862043ecb7cc30feaa92029303e5e11aa8e740fae381e9b3e0 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 216 | Timestamp: 2016-09-28 03:09:00
✅ TX 8938890e6f829397c051c3a5430f470aebe2ce19efe434ed210ac287fb066e44 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-31 23:27:00
✅ TX 1ecdda058291f7b5e662348c2cb8b19f617867374d8209d894ef59a16cceb435 | SENSOR_Temperature_°C | Temperature (°C) | Value: 10 | Timestamp: 2016-08-31 23:27:00
✅ TX f4436d926e14de86e1da78a2a272d59fc71abfb955f07a07c947bf6c5280eea0 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-31 23:27:00
✅ TX e7f3691de771753abbca39339ff9e082de2dc5d86eaa2d523c8b9f1c94d818c5 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 206 | Timestamp: 2016-08-31 23:27:00
✅ TX 77f39a577fe8612ec398231d890e405589e5d96dbd44bebdfc0f386ed970ea0f | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-05 10:51:00
✅ TX 42cc526f01703d998ec006bf24bbf781943d7b8d3dacbf5f41e6383fb859ffb4 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2017-01-05 10:51:00
✅ TX f400689e6bd73d6fcd66d53fe6061479083135ed599484f3042a3f8ec0d4298d | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-05 10:51:00
